time,education,city,money,team,description,title,company,experience
2018-07-30 15:28,本科,成都,8K-10K,"团队介绍
我们是一个小型团队，每个员工都独当一面
领导nice 不打卡 免费零食 公司氛围好 带薪年假 扁平管理 地铁周边 股票期权","职位描述
1.项目后台功能开发。

2.负责相关软件模块的完善和性能调优工作；

3.参与框架优化、性能优化、系统重构等工作;

任职要求

1.细心，热爱技术，喜欢钻研，对python/javascript感兴趣。
2.有一定的项目开发经验，研究过优秀开源软件的源码并有心得者优先。
3.（后端）熟悉linux系统命令、熟悉MySQL/MongoDB数据库、网络编程。
4.（后端）Django/Flask，至少一个很熟悉。
5.了解js/css/html，熟悉常见的模板语言，能够独立完成网页布局和交互功能。
7.具备良好的分析解决问题能力

该职位是由我公司代中铁信息集团公司招聘，参与我司与中铁信息的合作项目。",Python,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",1年以内
2018-08-09 10:09,本科,成都,8K-12K,"团队介绍
公司氛围好 地铁周边","职位描述
岗位数：1人 （2018/8/9 更新）
主要工作职责
- 为某大型合资公司做软件开发外包工作
- 负责云计算管理平面软件的设计，开发，调试，或参与系统测试工作
- 根据项目要求，需要去现场项目做支持工作

主要技能要求
- 熟悉python脚本语言,有2-3年实际Python开发经验
- 熟悉OpenStack或CloudStack，有相关开发经验
- 熟悉Linux平台，最好有管理员工作经验
- 能很好地进行技术性交流和沟通",初级Python开发工程师,"公司介绍
勤智数码科技股份有限公司（ChinaWiserv Technologies Inc）是国内专业的智能IT运维解决方案提供商及大数据综合运营商，业务涉及智能服务（IT运维、流程管理、信息安全评测与咨询等）、大数据（采集、分析、处理、挖掘、应用等）以及智慧城市的建设和运营，客户遍布政府、金融、教育、电力
查看全部",3-5年
2018-07-25 14:53,大专,成都,15K-30K,"公司介绍
源码时代，一家专注于IT职业教育的黄埔军校!
你不知道的事：
源码时代（前成都源代码教育)深耕IT职业技能培训超过10年的老司机！
每年为企业输送上千IT人才，入职各大名企，IT行业的造血干细胞！
匠心教育，授人以渔，学员就业薪资达到8-15K
查看全部","职位描述
1. 表达能力强，声音清晰自然，个性开朗，乐于与人交流。
2. 熟练使用Linux/Unix系统，Linux/Mac 作为开发环境
3. 3年以上相关工作经验，扎实的python基础，熟悉Django、tornado、web.py等web框架中的一种；
4. 熟悉MySQL、Redis、mongo之一，熟悉数据库索引；
5. 熟悉数据结构和算法，有扎实的计算机功底和强大的编码能力；
6. 必须有很强的动手编码能力，以编码驱动教学，拒绝对着ppt讲课。
7. 有过1年以上教学经验，并且是所在培训机构学生口碑最好的讲师，优先考虑。
8. 熟悉项目开发流程，熟练使用CVS/SVN等版本控制软件。
9. 年薪范围：20万-50万
10. 年薪的组成：基本工资+代课费+老员工奖+效益奖+管理奖金。
注：工作满1年即可享受每年2到8万的老员工奖，一般工作满叁年，年薪将达40万，有管理职位，年薪达50万。年薪达50万。",python讲师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",3-5年
2018-06-04 16:15,大专,成都,10K-16K,"公司介绍
之维安是一家致力于提供环境保护、公安行业信息化软硬件技术方案和集成、建设及运维服务的高新技术企业。

环保一网通是我公司与“四川省环境保护科学研究院”、“四川日报”联合开发的环保综合服务平台，旨在为用户提供最权威、最及时、最
查看全部","职位描述
工作职责：
1、负责用户体系程序设计、开发，针对运营、产品需求协助项目负责人制定开发计划；
2、根据产品的需求，分解需求并完成相应的开发和测试;
3、负责分析业务领域比较复杂的问题，根据业务需求选择技术解决方案。

任职要求:
- 精通 Python 语言，4 年以上的 Python 语言应用开发经验
- 熟练掌握主流的 Python 框架，django（优先）, django-cms, flask
- 熟悉微服务开发流程以及常用开源框架
- 熟悉 MySQL 数据库的开发、应用与性能优化，同时有 NoSQL（Redis 与 MongoDB）实际经验
- 熟悉服务器端应用架构与优化，了解高可用、容灾、负载均衡、缓存等技术及原理
- 熟悉主流云平台（阿里云、AWS、Google 云平台），有云平台项目部署经验，及应用云平台组件构建系统服务经验
- 精通 Linux 操作系统，熟悉 Ubuntu, CentOS 等
- 熟悉 Nginx 等服务器软件
- 了解 DNS 原理和配置优先
- 了解Thrift RPC框架优先",Python,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",3-5年
2018-07-18 11:52,不限,成都,30K-60K,"公司介绍
成都冈与轩齐科技有限公司主要经营：开发，销售计算机软硬件；计算机技术咨询、技术服务；物联网技术研发、技术服务；网络设备及产品等。公司尊崇“踏实、拼搏、责任”的企业精神，并以诚信、共赢、开创为经营理念，创造良好的企业环境，以全新的管理模式，完善的技术，周到的服务，始终坚持用心服
查看全部","职位描述
岗位职责：
1、负责服务器端架构设计、通讯协议设计、模块划分；
2、负责性能、网络、数据等方面的优化；
3、实现技术难点、关键框架代码、核心逻辑代码；
4、保证服务端的稳定性、可扩展性、安全性和效率；
5、相关的工具开发，相关文档的书写。
岗位要求：
1、本科以上学历，3年以上端游、页游或手游服务端开发经验；
2、熟悉python及相关的库，熟悉linux环境；
3、熟悉多线程、多进程、socket、数据库等相关技术；
4、具有较强的架构能力，具备服务器性能及代码性能优化能力，具备高并发流量下的请求处理经验；
5、热爱游戏开发，高度的工作责任心，思维严谨，逻辑清晰，注重工作效率，具备技术难点攻关能力。",python服务端开发工程师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",3-5年
2018-07-20 09:07,本科,成都,6K-7K,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第","职位描述
1.本科以上学历
2.熟悉Python",Python开发,"工商信息
成都思博信科信息技术有限公司
法人代表：朱鹏 注册资金：1000万人民币
成立时间：2013-10-28
企业类型：有限责任公司(自然人投资或控股) 经营状态：存续（在营、开业、在册）
查看全部",1-3年
2018-08-01 12:04,不限,成都,8K-15K,"公司介绍
极客公园成立于 2010 年，是中国创新者的大本营。通过对前沿科技的观察报道，业界一流的线下活动，众筹孵化等全方位的创业服务，极客公园汇聚了中国最广大的创新、创业人群。在内容媒体、整合营销、创业服务三大业务线协同发展下，极客公园帮助中国创业者更有效率的探索未来，链接更多的资源，让优秀的科技创业公司得
查看全部","职位描述
职位诱惑：
五险一金

职位描述：
工作内容

1. 参与/负责 Python Web Service 的开发，为用户提供稳定可靠的服务

2. 参与/负责研发数据抓取、机器学习的自动化信息提取系统

招聘要求

1. 熟悉 Python 开发；

2. 熟悉 REST API 设计与开发；

3. 熟悉主流 Web 框架，了了解架构设计和实现原理；

4. 熟悉 MongoDB 等数据库；

5. 熟悉 Docker 的使用；

6. 对机器学习，NLP 方面有所了解或有学习意愿；

7. 熟悉 Linux 系统，包括系统管理、配置、Shell 脚本开发；

8. 责任心强，乐于沟通，善于团队合作；

9. 有 Github、Blog、Linkedin、作品等优先；

10. 使用 MacOS 最佳",python,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",经验不限
2018-07-30 13:35,大专,成都,6K-12K,"公司介绍
北京元纯语义文化科技有限公司(以下简称:元纯语义公 司)隶属于北京元纯传媒有限公司。我们致力于新技术手段 为内容生产和发行提供更快更好的服务，拥有包括人工智能 (AI)、大数据、云计算、多媒体综合处理、精准算法发行 等多个国内领先的技术业务矩阵和强大的定向研发能力。
元纯语义公司以“让
查看全部","职位描述
【有以下装备者欢迎投递】

工作职责：
专注于垂直领域数据爬取，进行多平台信息的抓取和分析；
对爬虫系统的架构设计与开发；
实现数据提取、清洗、结构化、入库、统计分析等需求；
建立爬虫监测体系，及时分析及解决爬虫在运行过程中出现的缺陷；
研究优化算法，提升爬虫系统的稳定性、可扩展性；
设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；

岗位要求:
大专及以上，至少1年以上python爬虫工作经验；
熟悉使用分布式基本知识，设计与开发爬虫系统架构；
有app爬虫开发经验，逆向爬虫经验，破解js加密及模拟登陆经验；
精通使用爬虫相关技术，如：python、scrapy、selenium、xpath、正则表达式、bs4，但不限于以上技术等,
精通高并发、高性能的分布式系统的设计及应用，熟悉常用数据存储，各种数据处理技术优先；
福利：
弹性上班时间；周末双休；入职即购买五险一金",Python,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",经验不限
2018-07-06 16:56,本科,成都,7K-14K,"公司介绍
中国电子科技网络信息安全有限公司（简称中国网安）是中国电科集团公司（十大军工集团之一）根据国家安全战略发展需要，汇聚中国电科内部资源重点打造的网络信息安全子集团。2014 年，中国电科党组决定独资注册成立中国电子科技网络信息安全有限公司，将旗下具有50 多年历史，专业从事信息安全和电磁防御的30 所
查看全部","职位描述
工作内容：
岗位职责：
1、根据项目要求完成相关功能的开发；
2、从事新技术探索和建设任务；
3、完成工作中所需的各项文档。
职位要求：
1、本科及以上学习，至少具有1年以上Web开发经验。
2、熟练掌握Flask/Django框架；
3、熟练掌握mongodb、redis数据库；
4、熟悉HTML、CSS；
5、熟悉Bootstrap、Jquery、ECharts等前端框架；
6、熟悉HTTP网络协议；
7、有高度的责任心，善于沟通，有良好的团队合作意识。",Python开发工程师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",1-3年
2018-05-22 11:29,本科,成都,10K-18K,"团队介绍
华为合资公司，承接华为定制软件，硬件和新资料开发测试任务。

我们大量的项目业务模式已改为“项目化交付”，即客户提供预算，交付时间和需求，按期验收，其他全由软通团队负责。

我们扩展很快，从2011年开始到现在超过200多个项目，3000余人规模。大量的新团队建设，老团队扩张，需要大量管理人员和技术专家加入
带薪年假 免费零食 美女如云 领导nice 公司氛围好 班车公寓 项目奖金 年终分红","职位描述
具有一年以上python测试或开发经验，统招本科以上学历。男女不限",Python,"公司介绍
软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数4000
查看全部",1-3年
