time,education,city,money,team,description,title,company,experience
2018-07-20 11:30,本科,成都,8K-16K,"公司介绍
文思海辉是一家来自中国的全球性IT服务公司，拥有超强的数字化咨询与行业解决方案实施能力，致力成为全球企业“最具价值的业务合作伙伴”。文思海辉坚持为全球客户提供领先的数字化咨询、体验交互、技术实施与运营服务，并凭借在高科技、金融、制造等行业的深厚积累和丰富经验，与128家《财富
查看全部","职位描述
1、Python基础扎实；
2、熟练使用常用标准库，熟悉数据结构，面向对象；
3、熟悉Oracle rac原理，有Oracle DBA工作经验，能独立完成Oracle安装和配置；
4、熟悉linux的常用操作，熟悉常用的ssh工具，如xshell、xterm；
5、熟悉常用的版本管理软件，如git。",Python开发,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",经验不限
2018-08-07 16:41,本科,成都,7K-12K,"公司介绍
成都汝来文化传媒有限公司是一家专业的直播艺人经纪公司,公司致力于以专业的、丰富的资源培养直播领域最具才华、素养、内涵的主播艺人；力争成为行业领先者，最终成长为直播领域的大型传媒艺人经纪公司。

公司于2016年落地天府之国成都，团队经专业建设、发展，已拥有一套创新并成熟的艺人培养模式；公司对艺人
查看全部","职位描述
职位描述：
1、熟悉Python语言，有1年以上Python语言使用经验；
2、有Python框架使用经验，包括但不限于：Tornado,Django,Flask,web2py等；
3、精通SQL语句调优;
4、熟悉HTML5、CSS3、Javascript以及jQuery；熟悉Linux；
5、良好的沟通能力和团队合作精神；
6、良好的学习能力，并且有兴趣学习钻研新技术；
7、负责公司平台产品后端开发。",Python,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",1-3年
2018-07-18 15:02,大专,成都,10K-20K,"团队介绍
nice的老板 、管理人员，融洽的工作氛围，工作超舒心
带薪年假 年终分红 扁平管理 公司氛围好 领导nice 深耕教育10年 口碑教育","职位描述
1. 表达能力强，个性开朗，乐于与人交流。
2. 熟练使用Linux/Unix系统，Linux/Mac 作为开发环境
3. 3年以上相关工作经验，扎实的python基础，熟悉Django、tornado、web.py等web框架中的一种；
4. 熟悉MySQL、Redis、mongo之一，熟悉数据库索引；
5. 熟悉数据结构和算法，有扎实的计算机功底和强大的编码能力；
6. 熟悉项目开发流程，熟练使用CVS/SVN等版本控制软件。",Python开发,"公司介绍
源码时代，一家专注于IT职业教育的黄埔军校!
你不知道的事：
源码时代（前成都源代码教育)深耕IT职业技能培训超过10年的老司机！
每年为企业输送上千IT人才，入职各大名企，IT行业的造血干细胞！
匠心教育，授人以渔，学员就业薪资达到8-15K
查看全部",3-5年
2018-07-11 23:56,本科,成都,15K-25K,"公司介绍
成都新希望金融科技有限公司，是新希望集团深耕金融领域20多年的厚重沉淀，是新希望集团在金融科技这条赛道上继新网银行之后的又一重大布局。公司由新希望集团全资控股，注册资本1亿元人民币，总部位于四川成都，在上海、深圳等地设有分支机构，业务范围覆盖全国。

公司高管团队及核心团队成员，拥有国内985、21
查看全部","职位描述
职位描述：
1、负责后台系统的设计和开发工作。
2、熟悉金融系统设计与开发者优先。

任职要求：
1、有坚实的计算机软硬件基础，熟练linux系统。
2、扎实Python功底，有Flask/GEvent/Uvloop等使用经验优先。
3、熟练数据库原理、熟练mysql，熟悉NoSql技术，熟练mongo,PostgreSQL者优先。
4、熟悉TCP/IP协议，多进程与多线程编程、进程间通讯技术。
5、对工作热情积极、对软件研发有深刻的理解，热爱学习、能迅速掌握相关领域知识。能独挡一面开发产品。
6、有分布式系统设计开发经验优先。
7、有强烈的上进心和求知欲，擅于学习新事物；",Python后台开发工程师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",1-3年
2018-06-27 18:32,本科,成都,15K-20K,"团队介绍
核心产品叫奇游加速器，专注于为Steam、Origin、PS4、XBOX等平台游戏玩家提供加速服务，用户已远超千万。盈利模式清晰，发展稳健，自有专利技术，在游戏玩家群体中拥有极高知名度，是用户数最多的游戏加速服务商之一。
股票期权 带薪年假 年度旅游 免费零食 地铁周边 智能硬件","职位描述
岗位职责：
1. 主要负责官网开发；
2. 参与大数据平台开发任务；
3. 参与新产品的需求讨论和分析；
4. 修复产品现存缺陷，与测试人员协作，保证高质量的递交。

岗位要求：
1. 熟悉Python语言，了解flask、tornado、django 等WEB框架，两年以上的Python开发经验；
2. 对计算机相关基础知识有较好理解， 具备数据库表结构设计能力，熟悉mysql/mongodb等常用数据库；
3. 熟练使用redis、memcache 缓存技术；
4. 熟练使用 Git、Pull Request 工作流；
5. 有大数据、数据统计和BI相关经验优先。

加分项：团队都很年轻，希望你也充满活力并且热爱这份岗位，把游戏相关工作当成一种乐趣。

我们关注你的现在和未来：
1、我们成长迅速：产品发布至今每年均以超100%的增长率成长，前景广阔；
2、丰厚的短期收益和长期共同成长回报：六险一金、丰厚绩效、带薪年假、期权奖励；
3、专注成长的精英文化：高效透明、扁平敏捷，倡导Think Big → Start small → Move fast；
4、身心健康保障：星级大厨中晚双餐、饱腹零食+下午茶、不定期出游、生日福利、年度体检。",高级python开发工程师,"公司介绍
昆明俊云科技有限公司成立于2014年，总部位于美丽的春城昆明，分公司成都俊云科技有限公司成立于2017年5月，位于成都高新区阿里西部基地。俊云科技是一家专注于为全球游戏玩家创造极致交互乐趣的新兴互联网科技公司。
查看全部",5-10年
2018-07-30 09:25,本科,成都,10K-16K,"团队介绍
公司氛围好 带薪年假 领导nice 五险一金 专业培训 美女如云 周末双休","职位描述
岗位职责：
1. 负责项目Python开发，数据处理；
2.负责项目逻辑设计及模块开发。
岗位要求:
1.计算机相关专业本科以上学历；
2.3年以上python后台开发经验，精通python网络编程，熟悉Django web开发框架；
3.熟悉spark,hadoop,elasticsearch等大数据平台的原理，做过大数据分析平台项目;
4.对MySQL，Redis,MongoDB等数据库至少有两种开发经验。

岗位职责:
1.参与云计算相关产品的web自动化框架的开发和维护；
2.参与云计算相关产品的web自动化脚本开发;
岗位要求:
1.2年及以上Python开发经验;
2.精通Python编程，对html,css,js有一定了解;
3.熟悉Selenium框架的使用;
4.了解基本的shell命令和Linux环境使用;
5.学习能力强，能快速学习并使用新技术开发;
6.了解基本的Java优先考虑。",Python开发工程师,"公司介绍
上海易宝软件有限公司是由同济大学和易宝系统（中国）有限公司（香港上市公司）联合创办的一家专门提供软件开发、测试服务的高新技术企业。
公司主要承接海外著名跨国集团的大型软件项目，同时也为欧美、香港、新加坡及国内企业提供开发外包服务。公司成立近6年来，不仅积累大量的外包软件的开发经验，还通过导入CMM
查看全部",3-5年
2018-07-30 16:11,本科,成都,7K-9K,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第","职位描述
Python开发工程师
职位描述：
让我们第一时间了解到你，简历请附上以下任一链接：
·开源账号 Github/Coding
·以往作品
·技术博客

岗位要求：
1、热爱服务端开发，对后台服务的整体架构设计有成功经验；
2、精通Flask / Tornado / Bottle / Sinatra任一Python微框架，1-3年的实际项目经验；
3、熟悉Linux / Mac下的开发环境，熟悉PostgreSQL / MySQL数据库，熟悉MongoDB / Redis / Memcache者优先；
4、熟悉Git / HTML / Javascript等必备技能；
5、具备良好的编码习惯和逻辑条理性，对复杂业务逻辑能快速理解并转化为技术需求；
6、有一定数据结构 / 算法基础，良好的面向对象思维优秀的学习能力，优秀的沟通能力，勇于承担责任，易于合作并帮助团队成功；
7、熟悉RESTful API开发者或有相关经验者优先。",Python,"工商信息
成都易付云网络科技有限公司
法人代表：李楠 注册资金：100.000000万人民币
成立时间：2017-04-01
企业类型：有限责任公司（自然人投资或控股的法人独资） 经营状态：存续（在营、开业、在册）
查看全部",1年以内
2018-07-19 10:13,大专,成都,8K-15K,"公司介绍
四川蜀宁科技有限公司（以下简称：蜀宁科技）是四川省首批双创企业版（新四版）挂牌企业，证券代码：811131；是成都市高新区主导产业企业；是行业领先的创新型信息技术服务商。
公司凭借深厚的技术实力和对行业生态资源的整合，已逐步建立起以“整体解决方案+软件服务外包”为
查看全部","职位描述
1.参与公司后台管理系统开发
2.扎实Linux Python开发基础，熟悉Flask、Django等主流web框架
3.熟悉多线程、异步IO等技术，并有过相应项目经验
4.熟练使用至少一种数据库（MySQL/Redis/MongoDB)
5.熟悉 Linux 的使用和管理，熟悉操作系统相关知识
6.3~5年Python后端开发经验",中级Python开发工程师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",3-5年
2018-04-25 16:36,本科,成都,15K-25K,"团队介绍
1.质数金服致力于打造国内领先的互联网金融区块链技术平台，我们的技术人员均来自阿里巴巴、蚂蚁金服、朗讯贝尔实验室等国内行领先的企业；
2.入职按工资实际基数购买六险一金，公积金购买比列为12%；
3.餐补、车补、下午茶、每月高标准团建
4.网信集团（上市公司）旗下子公司，不差钱的创业型公司
扁平管理 地铁周边 公司氛围好 移动互联网 带薪年假 股票期权 互联网金融 不打卡","职位描述
工作职责：
1、量化交易业务系统代码编写；
2、能快速学习量化策略能并开发新的量化策略；
3、理解业务增长需求，根据需求开发新策略；
4、良好的沟通能力和快速学习能力，能和团队一起协作完成项目；
5、善于分析问题并解决项目问题

资格：
1、本科及以上学历,3+年以上Python开发经验；
2、计算机、数学或金融专业毕业，有一定的金融基础知识
3、精通Python语言，并具备1+年中大型项目实战经验；
4、熟悉MySQL/MongoDB/Redis等一种或多种数据库；
5、熟悉Linux环境开发；
6、较好的算法和数据结构基础；
7、对Python性能和多线程编程有一定的了解；
8、工作认真努力、有责任心；
9，学习能力强，愿意学习新事物；
10、有量化经验者优先。",高级python工程师,"公司介绍
质数金服致力于打造国内领先的互联网金融区块链技术平台，我们的技术人员均来自蚂蚁金服、朗讯贝尔实验室等国内行领先的企业，对行业有深刻的理解。质数金服将于8月初发布技术白皮书，11月实现代码开源，真正做到行业类资源共享。
查看全部",5-10年
2018-08-10 17:16,大专,成都,7K-14K,"公司介绍
北京元纯语义文化科技有限公司(以下简称:元纯语义公 司)隶属于北京元纯传媒有限公司。我们致力于新技术手段 为内容生产和发行提供更快更好的服务，拥有包括人工智能 (AI)、大数据、云计算、多媒体综合处理、精准算法发行 等多个国内领先的技术业务矩阵和强大的定向研发能力。
元纯语义公司以“让
查看全部","职位描述
工作职责：
1.专注于垂直领域数据爬取，进行多平台信息的抓取和分析；
2.对爬虫系统的架构设计与开发；
3.实现数据提取、清洗、结构化、入库、统计分析等需求；
4.建立爬虫监测体系，及时分析及解决爬虫在运行过程中出现的缺陷；
5.研究优化算法，提升爬虫系统的稳定性、可扩展性；
6.设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量；

岗位要求:
1.大专及以上，至少1年以上python爬虫工作经验；
2.熟悉使用分布式基本知识，设计与开发爬虫系统架构；
3.有app爬虫开发经验，逆向爬虫经验，破解js加密及模拟登陆经验；
4.精通使用爬虫相关技术，如：python、scrapy、selenium、xpath、正则表达式、bs4，但不限于以上技术等,
5.精通高并发、高性能的分布式系统的设计及应用，熟悉常用数据存储，各种数据处理技术优先；

福利：
周末双休；入职即购买五险一金；零食",python爬虫工程师,"竞争力分析
综合竞争力评估
你在？位置
一般 良好 优秀 极好
查看完整个人竞争力
个人综合排名：在人中排名第",1-3年
